NAME                                   READY   STATUS                   RESTARTS   AGE
ollama-deployment-8457d767fd-g4wqq     1/1     Running                  0          7m23s
ollama-deployment-8457d767fd-gzjdf     1/1     Running                  0          53m
ollama-deployment-8457d767fd-ksg75     1/1     Running                  0          5h27m
ollama-deployment-8457d767fd-sbqhk     1/1     Running                  0          4h56m
ollama-deployment-8457d767fd-w9cxz     1/1     Running                  0          5h42m
ollama-deployment-8457d767fd-zzshv     1/1     Running                  0          6h30m
vectorexp-deployment-888c97489-22cdl   0/1     Evicted                  0          50m
vectorexp-deployment-888c97489-27bs5   0/1     Error                    0          68m
vectorexp-deployment-888c97489-2l62g   1/1     Running                  0          7m23s
vectorexp-deployment-888c97489-2l6rj   0/1     Evicted                  0          82m
vectorexp-deployment-888c97489-2mvhs   0/1     ContainerStatusUnknown   1          75m
vectorexp-deployment-888c97489-2s6vw   0/1     Evicted                  0          82m
vectorexp-deployment-888c97489-2wjj7   0/1     Evicted                  0          50m
vectorexp-deployment-888c97489-42gqz   0/1     Evicted                  0          50m
vectorexp-deployment-888c97489-48f79   0/1     Evicted                  0          82m
vectorexp-deployment-888c97489-49zlq   0/1     Evicted                  0          83m
vectorexp-deployment-888c97489-4c46b   0/1     Evicted                  0          50m
vectorexp-deployment-888c97489-4dwzh   0/1     Evicted                  0          82m
vectorexp-deployment-888c97489-5dcch   0/1     Evicted                  0          82m
vectorexp-deployment-888c97489-5dsgh   0/1     Evicted                  0          82m
vectorexp-deployment-888c97489-5fn6t   0/1     Evicted                  0          82m
vectorexp-deployment-888c97489-5fvkl   0/1     Evicted                  0          82m
vectorexp-deployment-888c97489-5shrj   0/1     Evicted                  0          50m
vectorexp-deployment-888c97489-62k2n   0/1     Evicted                  0          82m
vectorexp-deployment-888c97489-6qjdv   0/1     Evicted                  0          83m
vectorexp-deployment-888c97489-6v8bz   0/1     ContainerStatusUnknown   1          50m
vectorexp-deployment-888c97489-779qd   0/1     Evicted                  0          50m
vectorexp-deployment-888c97489-77jm2   0/1     Evicted                  0          50m
vectorexp-deployment-888c97489-7d5xp   0/1     Evicted                  0          82m
vectorexp-deployment-888c97489-7kxv8   0/1     Evicted                  0          82m
vectorexp-deployment-888c97489-7sfbb   0/1     Evicted                  0          83m
vectorexp-deployment-888c97489-7xdzl   0/1     Evicted                  0          50m
vectorexp-deployment-888c97489-7xl2g   0/1     Evicted                  0          50m
vectorexp-deployment-888c97489-86ttk   0/1     Evicted                  0          82m
vectorexp-deployment-888c97489-8bcx6   0/1     Evicted                  0          82m
vectorexp-deployment-888c97489-8clbn   1/1     Running                  0          29m
vectorexp-deployment-888c97489-8ct2w   0/1     Evicted                  0          82m
vectorexp-deployment-888c97489-8hxdt   0/1     Evicted                  0          83m
vectorexp-deployment-888c97489-8kbl8   0/1     Evicted                  0          82m
vectorexp-deployment-888c97489-8kssc   0/1     Evicted                  0          82m
vectorexp-deployment-888c97489-8pbwp   0/1     Evicted                  0          82m
vectorexp-deployment-888c97489-9d45c   0/1     Evicted                  0          50m
vectorexp-deployment-888c97489-9dgfc   0/1     Evicted                  0          50m
vectorexp-deployment-888c97489-9jmxw   0/1     Evicted                  0          83m
vectorexp-deployment-888c97489-9kbhq   0/1     Evicted                  0          82m
vectorexp-deployment-888c97489-9n29w   0/1     ContainerStatusUnknown   1          82m
vectorexp-deployment-888c97489-bfksx   0/1     Evicted                  0          82m
vectorexp-deployment-888c97489-bmfd7   0/1     Evicted                  0          82m
vectorexp-deployment-888c97489-c725q   0/1     Evicted                  0          50m
vectorexp-deployment-888c97489-cndll   0/1     ContainerStatusUnknown   1          90m
vectorexp-deployment-888c97489-cp544   0/1     Evicted                  0          82m
vectorexp-deployment-888c97489-cs79k   0/1     Error                    0          43m
vectorexp-deployment-888c97489-dc7b2   0/1     Evicted                  0          82m
vectorexp-deployment-888c97489-df855   0/1     Evicted                  0          82m
vectorexp-deployment-888c97489-dggr8   0/1     Evicted                  0          50m
vectorexp-deployment-888c97489-fh5xp   0/1     Evicted                  0          50m
vectorexp-deployment-888c97489-fxsdp   0/1     ContainerStatusUnknown   1          61m
vectorexp-deployment-888c97489-g4k56   0/1     Evicted                  0          82m
vectorexp-deployment-888c97489-gggmw   0/1     Evicted                  0          82m
vectorexp-deployment-888c97489-gtcl2   1/1     Running                  0          36m
vectorexp-deployment-888c97489-h464z   0/1     Evicted                  0          82m
vectorexp-deployment-888c97489-h64r9   0/1     Evicted                  0          82m
vectorexp-deployment-888c97489-hfqlk   0/1     Evicted                  0          82m
vectorexp-deployment-888c97489-hxtqs   0/1     Error                    0          44m
vectorexp-deployment-888c97489-j6hh4   0/1     Evicted                  0          82m
vectorexp-deployment-888c97489-j86vh   0/1     Evicted                  0          82m
vectorexp-deployment-888c97489-j8cd7   0/1     Evicted                  0          82m
vectorexp-deployment-888c97489-jkhc6   0/1     Evicted                  0          82m
vectorexp-deployment-888c97489-jxdsz   0/1     Evicted                  0          50m
vectorexp-deployment-888c97489-k54gh   0/1     Evicted                  0          82m
vectorexp-deployment-888c97489-k6x2q   0/1     Evicted                  0          82m
vectorexp-deployment-888c97489-kdcxb   0/1     Evicted                  0          82m
vectorexp-deployment-888c97489-kslz7   0/1     Evicted                  0          83m
vectorexp-deployment-888c97489-ktvqw   0/1     Evicted                  0          82m
vectorexp-deployment-888c97489-l45z5   0/1     Evicted                  0          50m
vectorexp-deployment-888c97489-l84wz   0/1     Evicted                  0          82m
vectorexp-deployment-888c97489-lc9kv   0/1     Evicted                  0          50m
vectorexp-deployment-888c97489-lw9kg   0/1     Evicted                  0          50m
vectorexp-deployment-888c97489-m97mr   0/1     Evicted                  0          50m
vectorexp-deployment-888c97489-mhgd6   0/1     Evicted                  0          82m
vectorexp-deployment-888c97489-mt68l   0/1     Error                    0          4h56m
vectorexp-deployment-888c97489-mt96v   0/1     Evicted                  0          50m
vectorexp-deployment-888c97489-nbl7d   0/1     Error                    0          53m
vectorexp-deployment-888c97489-npsb2   0/1     Evicted                  0          50m
vectorexp-deployment-888c97489-nqqmr   0/1     Evicted                  0          82m
vectorexp-deployment-888c97489-p25fz   0/1     Evicted                  0          83m
vectorexp-deployment-888c97489-pfqpz   0/1     Evicted                  0          50m
vectorexp-deployment-888c97489-pkvjj   0/1     Evicted                  0          82m
vectorexp-deployment-888c97489-pl2wg   0/1     Evicted                  0          50m
vectorexp-deployment-888c97489-pnqkl   0/1     Evicted                  0          82m
vectorexp-deployment-888c97489-pqxcc   0/1     Evicted                  0          82m
vectorexp-deployment-888c97489-prlg6   0/1     Evicted                  0          50m
vectorexp-deployment-888c97489-pzdkt   0/1     Evicted                  0          82m
vectorexp-deployment-888c97489-q6k4r   0/1     Evicted                  0          50m
vectorexp-deployment-888c97489-qlsgm   0/1     Evicted                  0          50m
vectorexp-deployment-888c97489-qpprm   0/1     Error                    0          5h11m
vectorexp-deployment-888c97489-qrd72   0/1     Evicted                  0          83m
vectorexp-deployment-888c97489-qssb6   0/1     Evicted                  0          50m
vectorexp-deployment-888c97489-r46fl   0/1     Evicted                  0          82m
vectorexp-deployment-888c97489-r5x99   1/1     Running                  0          15m
vectorexp-deployment-888c97489-r9767   0/1     Evicted                  0          50m
vectorexp-deployment-888c97489-r9jrq   0/1     Evicted                  0          83m
vectorexp-deployment-888c97489-rmg4h   0/1     ContainerStatusUnknown   1          35m
vectorexp-deployment-888c97489-rq6js   0/1     Evicted                  0          50m
vectorexp-deployment-888c97489-svvd6   0/1     Evicted                  0          50m
vectorexp-deployment-888c97489-t4k47   0/1     Evicted                  0          82m
vectorexp-deployment-888c97489-t62m9   0/1     Error                    0          83m
vectorexp-deployment-888c97489-tcwxs   1/1     Running                  0          37m
vectorexp-deployment-888c97489-tr2f9   0/1     ContainerStatusUnknown   1          97m
vectorexp-deployment-888c97489-vhjzp   0/1     Error                    0          5h4m
vectorexp-deployment-888c97489-vrl7j   0/1     Evicted                  0          82m
vectorexp-deployment-888c97489-vwk2q   0/1     Evicted                  0          82m
vectorexp-deployment-888c97489-vzdxl   0/1     Evicted                  0          82m
vectorexp-deployment-888c97489-wp29m   1/1     Running                  0          22m
vectorexp-deployment-888c97489-wrh59   0/1     Evicted                  0          50m
vectorexp-deployment-888c97489-wtzk7   0/1     Evicted                  0          50m
vectorexp-deployment-888c97489-x2z46   0/1     Evicted                  0          50m
vectorexp-deployment-888c97489-x4dlq   0/1     Evicted                  0          82m
vectorexp-deployment-888c97489-xlsw6   0/1     Evicted                  0          82m
