timestamp,ollama-deployment-b47f85cb4-5glnr,ollama-deployment-b47f85cb4-cnp9n,ollama-deployment-b47f85cb4-hhxbb,ollama-deployment-b47f85cb4-kbmpj,ollama-deployment-b47f85cb4-mk4j6,ollama-deployment-b47f85cb4-mwbt5,ollama-deployment-b47f85cb4-n8t54,vectorexp-deployment-668478cb95-rn5pj
2025-04-23T08:12:09.882990,1,1,1,1,1,1,1,1
2025-04-23T08:12:20.293422,1,1,1,1,1,1,1,1
2025-04-23T08:12:30.673975,1,1,1,1,1,1,1,1
2025-04-23T08:18:59.157510,1,148,1,1,505,288,235,2
2025-04-23T08:19:09.576568,1,1020,1230,86,1588,610,298,3
2025-04-23T08:19:20.260247,1,1020,1230,86,1588,610,298,3
2025-04-23T08:19:30.675117,19,393,678,746,1601,156,72,2
2025-04-23T08:19:41.127349,1,802,459,1,1601,1222,1,2
2025-04-23T08:19:51.548560,190,963,52,1183,34,1118,256,3
2025-04-23T08:20:01.948094,190,963,52,1183,34,1118,256,3
2025-04-23T08:20:12.349499,1,1958,861,1,1,694,325,3
2025-04-23T08:20:23.230707,1,1976,861,1,243,2,239,2
2025-04-23T08:20:33.829575,1,1976,861,1,243,2,239,2
2025-04-23T08:20:44.248498,628,1972,1789,875,1,403,1128,1
2025-04-23T08:20:54.654953,894,1976,1114,108,133,248,1,2
2025-04-23T08:21:05.075960,894,1976,1114,108,133,248,1,2
2025-04-23T08:21:15.624971,1,1977,1975,1,189,1,1709,1
2025-04-23T08:21:26.002287,1,1978,1978,1,1975,1,1979,1
2025-04-23T08:21:36.590058,1,1978,1977,1,1978,1,1979,1
2025-04-23T08:21:47.372073,1,1978,1977,1,1978,1,1979,1
2025-04-23T08:21:57.746774,51,1189,1975,1,1963,174,1979,2
2025-04-23T08:22:09.927607,764,560,1978,1,805,748,1972,4
2025-04-23T08:22:20.335977,764,560,1978,1,805,748,1972,4
2025-04-23T08:22:30.762972,1010,90,1983,1091,805,1953,1979,2
2025-04-23T08:22:41.198248,1010,34,1978,1091,1,1963,1979,2
2025-04-23T08:22:51.691915,124,34,1979,41,1,1969,1979,1
2025-04-23T08:23:02.279391,124,34,1979,41,1,1969,1979,1
2025-04-23T08:23:12.632571,60,271,1976,1,1,174,1977,1
2025-04-23T08:23:23.193822,32,1978,1979,1,706,1,1978,1
2025-04-23T08:23:33.574106,32,1978,1979,1,706,1,1978,1
2025-04-23T08:23:44.200628,322,1978,1981,1,51,1,1977,1
2025-04-23T08:23:54.903923,322,1320,1982,120,66,1368,1978,2
2025-04-23T08:24:06.256927,322,1320,1982,120,66,1368,1978,2
2025-04-23T08:24:16.705049,73,1,1981,1953,1,82,1980,2
2025-04-23T08:24:27.292747,1,1,1981,1971,1,1,1975,1
2025-04-23T08:24:37.862101,1,880,1982,1731,1,1,1976,1
2025-04-23T08:24:48.274150,1,1,1982,1731,1,1,1976,1
2025-04-23T08:24:58.803444,31,1763,1981,1,1,1,1977,1
2025-04-23T08:25:09.209390,1,1763,1981,1,1,1,1979,1
2025-04-23T08:25:19.639066,1,1763,1981,1,1,1,1979,1
2025-04-23T08:25:30.018970,1,1976,1981,1,1,1,1980,1
2025-04-23T08:25:40.980828,1,1976,1981,1,1,1,1979,1
2025-04-23T08:25:51.557610,1,1976,1981,1,1,1,1977,1
2025-04-23T08:26:02.161253,1,1976,1981,1,1,1,1978,1
2025-04-23T08:26:12.738475,1,1976,1981,1,1,1,1977,1
2025-04-23T08:26:23.352564,1,1975,1981,1,1,1,1979,1
2025-04-23T08:26:33.927621,1,1975,1981,1,1,1,1979,1
2025-04-23T08:26:44.556131,1,1975,1981,1,1,1,1979,1
2025-04-23T08:26:55.181947,1,1981,1981,1,1,1,1979,1
2025-04-23T08:27:07.109212,1,1981,1981,1,1,1,1976,1
2025-04-23T08:27:17.747999,1,1981,1981,1,1,1,1976,1
2025-04-23T08:27:28.181444,1,1981,1980,1,1,1,1977,1
2025-04-23T08:27:38.781610,1,1980,1981,1,1,1,1979,1
2025-04-23T08:27:49.444656,1,1980,1981,1,1,1,1979,1
2025-04-23T08:27:59.833105,1,1981,1980,1,1,1,1979,1
2025-04-23T08:28:10.508235,1,1980,1981,1,1,1,1977,1
2025-04-23T08:28:21.087227,1,1980,1981,1,1,1,1977,1
2025-04-23T08:28:31.505895,1,1981,1981,1,1,1,1976,1
2025-04-23T08:28:42.120066,1,1980,1981,1,1,1,1979,1
2025-04-23T08:28:52.543195,1,1980,1981,1,1,1,1979,1
2025-04-23T08:29:03.128556,1,1980,1981,1,1,1,1979,1
2025-04-23T08:29:13.929264,1,1980,1981,1,1,2,1978,1
2025-04-23T08:29:24.533577,1,1980,1981,1,1,1,1977,1
2025-04-23T08:29:35.042724,1,1980,1981,1,1,1,1977,1
2025-04-23T08:29:45.635994,1,1981,1981,2,1,1,1976,1
2025-04-23T08:29:56.220987,2,1980,1981,1,1,1,1978,1
2025-04-23T08:30:06.622391,1,1981,1981,1,1,1,1979,1
2025-04-23T08:30:17.031354,1,1981,1981,1,1,1,1979,1
2025-04-23T08:30:29.015292,1,1979,1981,1,1,1,1979,1
2025-04-23T08:30:39.839020,1,1980,1981,1,1,1,1977,1
2025-04-23T08:30:50.439062,1,1980,1981,1,1,1,1977,1
2025-04-23T08:31:00.850683,1,1980,1981,1,1,1,1977,1
2025-04-23T08:31:11.281326,1,1981,1981,1,1,1,1979,1
2025-04-23T08:31:21.665634,1,1980,1980,1,1,1,1978,1
2025-04-23T08:31:32.283582,1,1980,1980,1,1,1,1978,1
2025-04-23T08:31:42.716694,1,1980,1981,1,1,1,1979,1
2025-04-23T08:31:53.345328,1,1980,1981,1,1,1,1976,1
2025-04-23T08:32:04.292139,1,1980,1981,1,1,1,1976,1
