pod_count,request_sent_count,request_failed_count,failure_rate,cpu_avg,memory_avg,user_count,request_interval,test_duration
1,5,0,0.0,0,0,1,6,30
1,5,1,20.0,14.261979166666773,41.476677492968165,1,6,30
1,10,2,20.0,32.29125000000137,45.594974458414576,2,6,30
1,15,0,0.0,32.13416666666732,45.74644775855553,3,6,30
1,20,0,0.0,32.151666666667154,45.685486791968415,4,6,30
2,5,0,0.0,0,0,1,6,30
2,10,1,10.0,19.318333333335463,48.83598913778329,2,6,30
2,15,0,0.0,47.55708333333349,48.57372569676389,3,6,30
2,20,0,0.0,40.40583333333277,49.033376188555124,4,6,30
3,5,1,20.0,66.05833333333189,50.47120425067739,1,6,30
3,10,1,10.0,39.481250000000024,50.981189605361536,2,6,30
3,15,0,0.0,51.27166666666726,50.92781439118719,3,6,30
3,20,0,0.0,53.70416666666764,52.61389448543434,4,6,30
4,5,0,0.0,0,0,1,6,30
4,10,0,0.0,0,0,2,6,30
4,15,0,0.0,33.116666666665125,60.216934305818995,3,6,30
4,20,0,0.0,43.519999999999264,60.304345119397034,4,6,30
5,5,0,0.0,0,0,1,6,30
5,10,1,10.0,32.3199999999995,63.32184643006226,2,6,30
5,15,1,6.666666666666667,30.55416666666672,62.22080734002229,3,6,30
5,20,0,0.0,79.79166666666683,62.55706022644257,4,6,30
5,25,1,4.0,57.4791666666647,62.293582557099434,5,6,30
5,20,1,5.0,35.6949999999973,62.42840866214224,4,6,30
