pod_count,request_sent_count,request_failed_count,cpu_avg,memory_avg,user_count,request_interval,test_duration
1,4,1,95.82857142857655,132.99216678151947,1,15,60
1,8,8,125.56666666666517,134.31742961436382,2,15,60
1,12,12,95.16425063109023,133.44062082183856,3,15,60
1,16,16,94.42380952381083,133.84019156782387,4,15,60
1,20,20,94.01825492101032,134.18562758109033,5,15,60
1,24,24,93.72738095237722,134.35658669242554,6,15,60
1,28,28,93.20238095238982,134.43094258374967,7,15,60
1,32,32,93.22023809523283,133.99615983120995,8,15,60
1,36,36,93.67380952380397,131.166072201697,9,15,60
1,40,40,128.40476190476087,132.4597606547117,10,15,60
1,44,44,98.99999999999726,132.4244344634255,11,15,60
2,4,0,0,0,1,15,60
2,8,1,90.93809523809406,136.1830850291291,2,15,60
2,12,1,104.78928571428698,150.66314770532446,3,15,60
2,16,7,125.60493046484461,158.6148108020635,4,15,60
2,20,14,144.6190476190445,160.42103438840778,5,15,60
2,24,21,143.64047619047122,161.81492964395656,6,15,60
2,28,28,141.1890053361552,162.57977918706686,7,15,60
2,32,32,139.85614843278432,163.69765668069454,8,15,60
2,36,36,141.14103213762255,164.19496516787362,9,15,60
2,40,40,140.83809523809796,164.2225639729451,10,15,60
2,44,44,96.06190476190804,163.92739547642745,11,15,60
3,4,2,114.05714186930973,176.65780387944892,1,15,60
3,8,7,119.48809523809143,182.05988537068555,2,15,60
3,12,10,180.79047619048742,191.39497635081983,3,15,60
3,16,14,148.80532994863884,197.26056677557818,4,15,60
3,20,19,159.08704951568853,197.71992316423103,5,15,60
3,24,21,193.4369047619094,199.6316407333191,6,15,60
3,28,28,192.56428571428668,200.51334357384476,7,15,60
3,32,32,192.38095238095238,202.7941926852743,8,15,60
3,36,36,192.73214285714167,201.30811815346595,9,15,60
3,40,40,192.64761904761795,201.4351459203421,10,15,60
4,4,3,222.8195078745561,211.1163888226114,1,15,60
4,8,8,147.14523809523857,216.8485602274086,2,15,60
5,4,3,184.79285714284788,231.80710593525978,1,15,60
5,8,5,260.33640159792765,243.92416829036023,2,15,60
5,12,9,276.45952380952144,261.38695605667095,3,15,60
5,16,11,248.83809523808893,268.71197104421833,4,15,60
5,20,17,211.45248414417773,270.892178755167,5,15,60
5,24,23,216.23809523808933,271.79871196113703,6,15,60
5,28,25,209.8119047619063,270.1827628030795,7,15,60
5,32,27,241.03809523809363,272.0167067597078,8,15,60
5,36,33,272.9571428571494,273.2694895654863,9,15,60
6,4,4,329.0761904762102,277.48371149792604,1,15,60
7,4,4,332.6315182954014,287.30841681752855,1,15,60
8,4,2,346.42261904762137,299.74263506987455,1,15,60
8,8,5,370.8928571428658,312.80714022328647,2,15,60
8,12,2,398.94285714285314,327.6368596390703,3,15,60
8,16,1,371.75952380952884,356.90816456349864,4,15,60
8,20,4,387.74642857142334,368.35543819617953,5,15,60
8,24,2,347.2262880520507,369.69180841839017,6,15,60
8,28,4,351.1925606849562,370.7415330924434,7,15,60
8,32,4,372.12738095238996,381.00298295517604,8,15,60
8,36,4,353.99047619047843,378.58989768407724,9,15,60
