pod_count,request_sent_count,request_failed_count,failure_rate,cpu_avg,memory_avg,user_count,request_interval,test_duration
1,6,6,100.0,88.84166666666717,131.95276788544004,1,5,30
2,6,5,83.33333333333334,127.40833333336316,145.21624603821505,1,5,30
2,12,8,66.66666666666666,121.88333333334111,156.52943282927993,2,5,30
2,18,16,88.88888888888889,142.2666666666616,165.32111544608665,3,5,30
3,6,4,66.66666666666666,170.13333333331803,177.4921389840896,1,5,30
3,12,6,50.0,113.6810822748624,188.68943375138954,2,5,30
3,18,11,61.111111111111114,202.97500000000582,198.1483328573803,3,5,30
3,24,16,66.66666666666666,163.49999999999147,200.35537410964548,4,5,30
3,30,28,93.33333333333333,165.2958333333542,202.0864768483089,5,5,30
4,6,6,100.0,170.45417562036255,212.04183003481197,1,5,30
5,6,3,50.0,159.32500000000195,228.47503856409602,1,5,30
5,12,6,50.0,221.41249999999368,240.57999548711354,2,5,30
5,18,9,50.0,234.61451781883505,265.2546077279034,3,5,30
