,node_count,request_sent_count,request_failed_count,cpu_avg,memory_avg,user_count,request_interval,test_duration
0,1,30,30,60.146605571114414,72.65650740596637,1,2,60
1,1,60,60,60.577082644021296,73.29558385739575,2,2,60
2,1,90,90,59.74373657434316,74.16982036450537,3,2,60
3,1,120,120,59.02916666666632,74.04485035314589,4,2,60
4,1,150,150,59.5999999999996,74.43149362492697,5,2,60
5,1,180,180,58.583333333333485,74.21526741043489,6,2,60
6,2,30,28,147.14583333333377,108.34281774847581,1,2,60
7,2,60,60,112.96041666666633,129.5417695285047,2,2,60
8,2,90,90,112.39375000000005,130.79872321805766,3,2,60
9,2,120,120,113.09583333333303,131.60281390443296,4,2,60
10,2,150,150,112.60416666666644,132.6779838919049,5,2,60
11,2,180,180,130.9458333333336,130.29477110931296,6,2,60
12,3,30,29,183.58508295672652,161.09103418255495,1,2,60
13,3,60,55,168.0556566565547,153.25840355773914,2,2,60
14,3,90,85,0.0,0.0,3,2,60
15,3,120,116,0.0,0.0,4,2,60
16,3,150,150,0.0,0.0,5,2,60
17,3,180,177,0.0,0.0,6,2,60
0,4,30,7,162.42599030878958,193.37354613499122,1,2,60
1,4,60,32,251.1358592393492,209.13430276326923,2,2,60
2,4,90,80,251.53163363495844,209.01070592837348,3,2,60
3,4,120,119,199.53547188052826,208.14313606003194,4,2,60
4,4,150,150,282.51756615960306,213.6383170726784,5,2,60
5,4,180,180,244.2272105013909,210.9733034541697,6,2,60
6,5,30,27,292.1916723432493,235.2251538691129,1,2,60
7,5,60,43,327.5554467470533,232.98695276903754,2,2,60
8,5,90,65,273.71458333333527,230.07326295677842,3,2,60
9,5,120,106,242.9454058395894,239.20330371307406,4,2,60
10,5,150,139,324.179941589176,277.1046656117988,5,2,60
11,5,180,178,283.2958828248735,277.6826540215239,6,2,60
12,6,30,28,333.39500959984065,286.39538974588254,1,2,60
13,6,60,51,370.3729938159158,306.76593172102264,2,2,60
14,6,90,75,340.45064508712335,289.67759627271766,3,2,60
15,6,120,86,363.24286868278983,279.49952052196886,4,2,60
16,6,150,123,298.63786875466315,301.9389764077965,5,2,60
17,6,180,149,0.0,0.0,6,2,60
