pod_count,request_sent_count,request_failed_count,failure_rate,cpu_avg,memory_avg,user_count,request_interval,test_duration
1,25,0,0.0,84.46874999999638,60.93838083133372,5,6,30
1,20,1,5.0,42.63999999999703,55.86895173303768,4,6,30
1,15,3,20.0,32.25333333332978,55.97549320873617,3,6,30
1,10,0,0.0,57.733333333335416,56.07387202340694,2,6,30
2,25,8,32.0,65.39750000000399,57.115649003624,5,6,30
2,20,6,30.0,67.34166666666474,57.94795433226204,4,6,30
2,15,1,6.666666666666667,77.34833333333519,58.18589304560835,3,6,30
2,10,0,0.0,70.04333333333854,58.12362656499497,2,6,30
3,25,4,16.0,81.4766666666674,59.4941154793979,5,6,30
3,20,14,70.0,108.29166666666667,60.54111539359663,4,6,30
3,15,3,20.0,110.60000000000159,60.49099572807601,3,6,30
3,10,1,10.0,115.46999999999329,60.420700938319115,2,6,30
4,25,13,52.0,77.15166666666545,61.02166826859561,5,6,30
4,20,4,20.0,69.85166666666616,62.4413513422845,4,6,30
4,15,0,0.0,0,0,3,6,30
4,10,0,0.0,126.7783333333264,63.05646543769018,2,6,30
5,25,16,64.0,135.38000000000102,63.97840008400186,5,6,30
5,20,1,5.0,164.44666666666492,65.2157807111353,4,6,30
5,15,1,6.666666666666667,131.37500000000185,63.697549404548724,3,6,30
5,10,0,0.0,123.35833333333662,62.84196975169525,2,6,30

1,5,0,0.0,0,0,1,6,30
1,5,1,20.0,14.261979166666773,41.476677492968165,1,6,30
1,10,2,20.0,32.29125000000137,45.594974458414576,2,6,30
1,15,0,0.0,32.13416666666732,45.74644775855553,3,6,30
1,20,0,0.0,32.151666666667154,45.685486791968415,4,6,30
2,5,0,0.0,0,0,1,6,30
2,10,1,10.0,19.318333333335463,48.83598913778329,2,6,30
2,15,0,0.0,47.55708333333349,48.57372569676389,3,6,30
2,20,0,0.0,40.40583333333277,49.033376188555124,4,6,30
3,5,1,20.0,66.05833333333189,50.47120425067739,1,6,30
3,10,1,10.0,39.481250000000024,50.981189605361536,2,6,30
3,15,0,0.0,51.27166666666726,50.92781439118719,3,6,30
3,20,0,0.0,53.70416666666764,52.61389448543434,4,6,30
4,5,0,0.0,0,0,1,6,30
4,10,0,0.0,0,0,2,6,30
4,15,0,0.0,33.116666666665125,60.216934305818995,3,6,30
4,20,0,0.0,43.519999999999264,60.304345119397034,4,6,30
5,5,0,0.0,0,0,1,6,30
5,10,1,10.0,32.3199999999995,63.32184643006226,2,6,30
5,15,1,6.666666666666667,30.55416666666672,62.22080734002229,3,6,30
5,20,0,0.0,79.79166666666683,62.55706022644257,4,6,30
5,25,1,4.0,57.4791666666647,62.293582557099434,5,6,30
5,20,1,5.0,35.6949999999973,62.42840866214224,4,6,30
1,1786,1779,99.6080627099664,62.5011261261252,59.92372752088994,5,1,360
